Id,Price
4567,165712.70056536485
5925,128886.10550047863
960,140086.0717624973
3848,118010.73836303195
746,189077.2525158817
868,343832.6622339586
672,94585.00429767
2471,226918.40613084045
4510,120429.36373460593
8354,267344.86988204566
6393,184889.67824723644
13270,228078.99543805217
5250,312094.79675598035
16751,169763.1971186629
11404,137300.00053918047
10588,345314.9290834109
14925,179593.3857440372
6791,200328.28998526421
16097,193120.42075102814
16428,366680.6009016026
6945,333108.3457100383
3190,183308.02220368639
15709,435509.10656018514
13155,163893.7720709894
7675,200339.85948059094
14686,246062.88056778954
609,150424.80758431362
11155,180919.0713572649
10869,189143.6854866037
15742,193079.3571545543
9245,189393.5973033165
3340,162566.8891477449
2359,282440.5426543314
8070,195302.99431641106
13707,126616.93063788637
16079,280128.2671663365
15937,277072.1435619867
14090,182135.24093483694
9008,233307.40370443938
16384,181571.4672943293
11657,238803.24498313668
13151,148591.98147261934
8990,161006.3272149022
11857,180422.9889937427
1565,161668.26100192987
8174,101161.89529465749
9247,247291.71153033228
10478,215219.0547532935
15509,157972.80912254323
8306,231639.72237080903
6642,180679.04315800773
7472,214932.3048279171
15989,128471.86943873767
13682,133817.02568575979
163,260200.48709288918
7076,192201.56159451415
7478,303560.50879311503
3029,189742.60847641338
1814,144792.64725272846
10057,125631.09791509181
15100,193134.84548864423
12694,211590.31681791856
6291,195381.96982498394
12603,180563.66461517502
3218,249831.14745706215
13456,124881.5188355039
10170,238988.3504173668
4530,144976.7862273099
13329,173228.3165848509
4820,145368.23889401738
10896,165103.34413045525
13416,120825.91951836136
2701,226442.81756472617
11265,337763.92525864166
9189,278217.94695276575
1858,191216.4523106442
14536,249126.2579443675
6199,267499.5113206412
14730,149584.95977078436
7510,278769.31145651184
15505,157130.08192963272
7446,184963.5031655938
14016,170987.36839318599
14113,103173.25622395011
8721,293813.3263491852
6193,301768.6338751461
5717,176535.75833944973
5427,316183.27993131574
9520,476629.1285769303
6869,101618.04713414112
1658,151201.61701891595
6639,210957.91615883712
6283,188494.8804651594
6257,121849.54467912132
15235,167274.3854340577
902,229555.39516606924
8932,196883.82598839552
16469,388365.1595342884
2825,270061.5007707956
6450,444812.9252072905
11366,186625.39817460242
3801,397165.7293573781
11385,178907.18697435598
1079,197948.9555366592
3202,238951.41548109413
676,234210.6573923837
6185,265286.33218807593
7730,163652.39379565226
2573,187722.62845259794
10978,210265.87766664242
10962,258882.0720072019
8870,196479.07830664256
8496,168759.4944129723
5517,158816.32920719468
927,176435.98350882504
13675,217483.50627058887
1499,207157.85019852588
15536,346101.89675882546
8602,358632.6075942673
12137,431057.25722279755
9865,275232.29449602886
16353,288415.2264874046
15908,226294.50250181864
3944,187379.1370768349
10359,206981.0399837901
15158,238266.96202686866
3259,254970.70595663725
7220,312771.105929058
13843,219678.05974597932
16736,185137.3339286122
702,267510.7579147239
16401,129708.73164595691
12134,193808.43412619896
6918,218719.72034406272
11792,132133.5574567793
3798,125383.06432013067
10395,133065.78296241738
11099,141879.58848706706
7090,207426.7966810093
11260,194587.02126581603
9647,218992.71533170753
